_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso,id_proveedor
4001,4989,Junta Multiple Admision Caribe 1600,2,2,14,0,J  GJ-535,Junta Multiple Admision Caribe 1600 Marca Cromax,47,22,0,0,#aa0009,1,30,8,1,0.1,0
4002,5008,Junta Multiple Admision y Escape Caribe 1600,2,2,39.99,0,GJ-536,Junta Multiple Admision y Escape Caribe 1600 Marca GUJI,47,22,0,0,#aa0009,1,30,10,1,0.1,0
4003,193,Amortiguador Caribe 5ta Puerta,8,2,100,0,171 827 550 A,Amortiguador Caribe 5ta Puerta Marca Safety,47,22,0,0,#aa0009,1,0,0,0,0,2
4004,1500,Brazo Limpiabrizas Caribe,8,2,49.99,0,171 955 409,Brazo Limpiabrizas Caribe Generic,47,22,0,0,#aa0009,1,40,4,4,0.15,4
4005,3581,Brazo limpiabrisas Trasero Caribe,8,2,77.99,0,171 955 410,Brazo limpiabrisas Trasero Caribe Generico,47,22,0,0,#aa0009,1,0,0,0,0,4
4006,4834,Junta Bomba Agua Caribe,2,2,8,0,GJ-533,Junta Bomba Agua Caribe MArca GUJI,47,22,0,0,#aa0009,1,20,12,1,0.1,0
4007,10703,Junta Toma Agua Caribe 1600,2,2,3,0,GJ-652,Junta Toma Agua Caribe 1600,47,22,0,0,#aa0009,1,6,6,2,0.1,0
4008,8744,Varilla Empujadora Clutch Caribe,2,2,27,0,020 141 701 A,Varilla Empujadora Clutch Caribe,47,22,0,0,#aa0009,1,0.1,32,1,1,0
4009,7360,Seguro Rueda Caribe (Corcholata),3,2,14,0,803 501 221,Seguro Rueda Caribe (Corcholata),47,22,0,0,#aa0009,1,3,3,2,0.1,0
4010,9602,Radiador Chevy,2,3,822.67,0,CRNC0150,Radiador Agua de Chevy con aire acondicionado estandar,5,6,0,0,#aa0009,1,0,0,0,0,0
4011,9809,Radiador Agua Chevy Sin Aire Estandar,2,3,514.48,0,CRNC0100,Radiador Agua Chevy Sin Aire Estandar Marca Isaka,5,6,0,0,#aa0009,1,75,40,10,2.5,0
4012,1501,Brazo Limpiabrisas Chevy Derecho,8,3,120,0,90386267,Brazo Limpiabrisas Chevy Derecho Generico,5,6,0,0,#aa0009,1,48,4,4,0.15,4
4013,2080,Brazo Limpiabrisas Chevy Izquierdo,8,3,120,0,90386266,Brazo Limpiabrisas Chevy Izquierdo Generico,5,6,0,0,#aa0009,1,23.5,21,13,0.45,4
4014,9799,Amortiguador chevy 5ta Puerta (5 Puertas),8,3,131.99,0,90481270,Amortiguador chevy 5ta Puerta (5 Puertas) Marca Bruck,5,6,0,0,#aa0009,1,0,0,0,0,1
4015,10800,Junta Transmision Chevy,2,3,22.22,0,GJ-601,Junta Transmision Chevy Marca GUJI,5,6,0,0,#aa0009,1,20,20,1,0.1,0
4016,4694,Horquilla Suspencion Chevy Derecha,3,3,275.99,0,SHNC0101,Horquilla Suspencion Chevy Derecha Marca Yokomitsu,5,6,0,0,#aa0009,1,9,9,42,1.7,0
4017,4995,Horquilla Suspencion Chevy Izquierda,3,3,21.25,0,SHNC0102,Horquilla Suspencion Chevy Izquierda Marca Yokomitsu,5,6,0,0,#aa0009,1,9,9,42,1.7,0
4018,6218,Sensor Map Chevy 09-12,5,3,237.96,0,16187556,Sensor Map Chevy 09-12 Marca EuroEspaña,5,6,0,0,#aa0009,1,5,7,9,0.1,0
4019,11454,Kit de Clutch Chevy Pick up,2,3,1349.99,0,GM-RSET-27CC,Kit de Clutch Chevy Pick up Marca VAOSIN,5,6,0,0,#aa0009,1,30,32,7,3.8,0
4020,1399,Balancin Clio 02,2,8,842.99,0,13257-00QAB,Balancin Clio 02 Marca Top Engine,39,90,0,0,#aa0009,1,5,5,5,0.05,27
4021,4992,Junta Multiple Admision Combi Fuel Inyection,2,2,75,0,026 129 717 F,Junta Multiple Admision Combi Fuel Inyection,48,53,0,0,#aa0009,1,28,8,1,0.1,0
4022,1500,Brazo Limpiabrisas Combi,8,2,49.99,0,171 955 409,Brazo Limpiabrisas Combi Generico,48,53,0,0,#aa0009,1,40,4,4,0.15,4
4023,6864,Kit de Clutch Combi 1800 Plato,2,2,2290,0,623 337 900,Kit de Clutch Combi 1800 Plato Macra LUK,48,53,0,0,#aa0009,1,38,36,8,7.25,0
4024,6683,Radiador Agua Corsa 1.8 04-09,2,3,782,0,CRNC0200,Radiador Agua Corsa 1.8 04-09 Marca ISAKA,16,71,0,0,#aa0009,1,81,48,13,3.2,0
