_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso,id_proveedor
1001,6623,Bomba Gasolina Jetta A4,5,2,922,0,KS-27M,Bomba Gasolina Jetta A4 Marca Tetzun,55,17,0,0,#aa0009,1,0,0,0,0,9
1002,62,Aceite Motor 5w40 Fuji Litro,8,1,125,0,4223,Aceite Motor Fuji 5w40 Sintetico Premium Litro,1,1,0,0,#aa0009,0,0,0,0,0,0
1003,3995,Filtro Aceite Atos Alto,1,6,42.42,0,ACNN1300,Filtro Aceite Atos Alto Marca Diforza,70,37,0,0,#aa0009,1,7,7,9,0.25,18
1004,11711,Filtro Aceite Aveo,1,3,34.99,0,2501079-2,FIltro Aceite Aveo Marca Oil Filter,15,38,0,0,#aa0009,1,0,0,0,0,0
1005,640,Radiador Aceite Transmicion Bora,2,2,675,0,02E 409 061B,Radiador Aceite Transmicion Bora Marca Top Engine,4,5,0,0,#aa0009,1,19,13.5,13.5,1.35,0
1006,9135,Aceite Motor Fuji W40 Litro,1,10,58,0,4576,Aceite Motor Fuji Super Monogrado SAE W40 SL CF Litro,76,95,0,0,#aa0009,1,0,0,0,0,19
1007,12118,Anticongelante Rosa Pentosin 1.5L,8,10,262.99,0,pf-sf-1500ML,Anticongelante Consentrado Pentosin Rosa Galon 1.5 Litros,76,95,0,0,#aa0009,1,0,0,0,0,91
1008,4054,Gas Aire Acondicionado,8,10,125,0,DUPONT-T134,Gas Aire Acondicionado Freon 134a (Refrigerant R-1341),76,95,0,0,#aa0009,1,14,7,14,0.45,0
1009,5229,Limpia Inyectores,8,10,92.99,0,4-18,Limpia Inyectores Spray KMX 340 ml,76,95,0,0,#aa0009,1,23.5,6.5,23.5,0.45,0
1010,9573,Liquido Frenos Wagner,8,10,28,0,WFC134279,Liquido Frenos Wagner 250 ml,76,95,0,0,#aa0009,1,0,0,0,0,0
1011,6886,Liquido Frenos,8,10,83.99,0,1819,Liquido De Frenos Roshfrans 950 ml Servicio Extra Pesado,76,95,0,0,#aa0009,1,0,0,0,0,0
1012,5270,Liquido Limpia Parabrisas,8,10,24,0,9xw001-prom,Liquido Limpiaparabrisas Hella 350 ml,76,95,0,0,#aa0009,1,7,6,7,0.25,0
1013,7305,Liquido Transmisión Automática,1,10,328,0,-,Aceite Transmicion Automatica Pentosin ATF-1,76,95,0,0,#aa0009,1,0,0,0,0,0
1014,6301,Pegamento Shelac,8,10,43.99,0,43345,Pegamento Shelac KWX,76,95,0,0,#aa0009,1,0,0,0,0,0
1015,616,Shampoo Limpiabrisas,8,10,19,0,PSHAMB,Shampoo Limpiabrisas Bosh,76,95,0,0,#aa0009,1,18,7,7,0.3,0
1016,2663,Cilindro Rueda Atos Trasero Izquierdo,7,6,90,0,58330-02000 Vp,Cilindro Rueda Atos Trasero Izquierdo Marca VP,70,36,0,0,#aa0009,1,0,0,0,0,25
1017,9758,Cilindro Rueda Atos Trasero Derecho,7,6,81,0,58380-02000K,Cilindro Rueda Atos Trasero Derecho Marca Regal Parts,70,36,0,0,#aa0009,1,0,0,0,0,98
1018,1857,Cilindro Rueda Aveo,7,3,97.99,0,BRNC9900,Cilindro Rueda Aveo Marca Yokomitsu,15,38,0,0,#aa0009,1,8,6,10,0.35,10
1019,3501,Cilindro Rueda Aveo,7,3,102.99,0,WC-GM370103,Cilindro Rueda Aveo Marca FP,15,38,0,0,#aa0009,1,10,7,4.5,0.35,38
1020,10311,Filtro Aceite Bora 2.5,1,2,46,0,06d 115 562,Filtro Aceite Bora 2.5 High Filter,4,5,0,0,#aa0009,1,0,0,0,0,0
1021,2603,Cilindro Maestro Caribe,7,2,357.83,0,171 611 019A,Cilindro Maestro Caribe Marca Bruck,47,22,0,0,#aa0009,1,0,0,0,0,1
1022,1241,Polea Loca Chevy Completa,2,3,262.61,0,90500229,Polea Loca Chevy Completa Con aire Lisa,5,6,0,0,#aa0009,0,10,9,15,0.95,0
1023,1437,Cilindro Rueda Chevy Pick up Trasero Izquierdo,7,3,107.99,0,VPCR-370384,Cilindro Rueda Chevy Pick up Trasero Izquierdo Marca VP,5,6,0,0,#aa0009,1,0,0,0,0,25
1024,2605,Cilindro Maestro Chevy,7,3,397.07,0,934967,Cilindro Maestro Chevy Sin Deposito Marca Bruck,5,6,0,0,#aa0009,1,21.5,8.5,7,0.5,1
1025,2608,Cilindro Maestro Chevy Pick up,7,3,409.31,0,BMC-GM01,Cilindro Maestro Chevy Pick up Marca FP,5,6,0,0,#aa0009,1,21,9,7,0.55,38
1026,2678,Cilindro Rueda Chevy Trasero Pick up,7,3,91.64,0,WC-GM13,Cilindro Rueda Chevy Trasero Pick up Marca Fp,5,6,0,0,#aa0009,1,0,0,0,0,38
1027,11502,Cilindro Rueda Chevy Pick up Trasero Izquiero,7,3,104.88,0,WC-GM370384,Cilindro Rueda Chevy Pick up Trasero Izquiero Marca FP,5,6,0,0,#aa0009,1,0,0,0,0,38
1028,11711,Filtro Aceite Chevy,1,3,34.99,0,2501079-2,Filtro Aceite Chevy Marca EGP,5,6,0,0,#aa0009,1,0,0,0,0,61
