_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso,id_proveedor
2999,10008,Placa Porta Carbnones Marcha Platina,5,1,235,0,3134800,Placa Porta Carbnones Marcha Platina,33,44,0,0,#aa0009,1,15,15,5,0.1,0
3000,9027,Carter Meriva 1.8,2,3,977.99,0,93335205,Carter Meriva 1.8 Marca Top Engine,19,74,0,0,#aa0009,1,45,32,17,3.05,27
3001,9856,Deposito Anticongelante Matiz G1,2,3,188,0,96591467,Deposito Anticongelante Matiz G1 Marca Best Cooling,18,73,0,0,#aa0009,1,0,0,0,0,53
3002,10264,Deposito Anticongelante Matiz G1,2,3,169,0,96314169   REMAT,Deposito Anticongelante Matiz G1 Marca Bruck,18,73,0,0,#aa0009,1,0,0,0,0,1
3003,458,Carter Matiz,2,3,702.99,0,96518397,Carter Matiz Marca Bruck,18,73,0,0,#aa0009,1,40,22,17,2.1,1
3004,6356,Reten Cigueñal Matiz Trasero Original ACDelco,2,3,127.99,0,94535475,Reten Cigueñal Matiz Trasero Original ACDelco,18,73,0,0,#aa0009,1,10,10,5,0.1,0
3005,1883,Radiador Agua March Estandar,2,1,1300,0,CRNN0900,Radiador Agua March Estandar Con o Sin Aire Marca Izaka,27,34,0,0,#aa0009,1,,,,,0
3006,6285,Pastilla Encendido Lupo,5,2,85.79,0,6N0 905 865,Pastilla Encendido Lupo Marca Voltmax,58,58,0,0,#aa0009,1,5,5,5,0.1,0
3007,863,Manguera Radiador Superior Lupo,2,2,48.99,0,CH-VW220011,Manguera Radiador Superior Lupo Marca Best Cooling,58,58,0,0,#aa0009,1,17,9,6,0.1,0
3008,12963,Radiador Agua Polo Con Aire Estandar,2,2,1189,0,CRNV1310,Radiador Agua Polo Con Aire Estandar Marca Izaka,58,58,0,0,#aa0009,1,47,77,10,3,0
3009,9426,Carter Platina Aluminio Con Deflector,2,1,1169.99,0,1111000QOC,Carter Platina Aluminio Con Deflector Marca Top Engine,33,44,0,0,#aa0009,1,31,43,21,3.95,27
3010,13373,Espejo Pick up D23 Manual Derecho,4,1,768,0,AERN0701,Espejo Pick up D23 Manual Derecho,28,41,0,0,#aa0009,1,19,33,27,1.55,0
3011,13374,Espejo Pick up D23 Manual Izquierdo,4,1,768,0,AERN0702,Espejo Pick up D23 Manual Izquierdo,28,41,0,0,#aa0009,1,19,33,27,1.55,0
3012,7021,Reten Arbol Levas Jetta A6,2,2,36.89,0,038 103 085 B,Reten Arbol Levas Jetta A6 Marca Bruck,57,19,0,0,#aa0009,1,10,10,5,0.1,0
3013,12509,Deposito Anticongelante Jetta A6,2,2,164.99,0,1K0-121-407A,Deposito Anticongelante Jetta A6 Marca Best Cooling,57,19,0,0,#aa0009,1,0,0,0,0,53
3014,9434,Carter Aceite Jetta A5,2,2,655,0,06J 103 600 E,Carter Aceite Jetta A5,56,18,0,0,#aa0009,1,42,31,9,2.2,24
3015,10499,Manguera Tapa Puntrerias Jetta A4 Turbo,2,2,85,0,06A 103 221 AN,Manguera Tapa Puntrerias Jetta A4 Turbo Marca OSSCA,55,17,0,0,#aa0009,1,25,9,8,0.1,0
3016,5563,Manguera Tapa Punterias Jetta A4,2,2,101.99,0,06A 133 240,Manguera Tapa Punterias Jetta A4 Marca Bruck,55,17,0,0,#aa0009,1,15,14,5,0.1,0
3017,251,Manguera Deposito Anticongelante Jetta A4 1.8 Turbo,2,2,125,0,1J0 122 109 AQ,Manguera Deposito Anticongelante Jetta A4 Turbo Marca Bruck,55,17,0,0,#aa0009,1,12,4,3,0.1,0
3018,5460,Manguera Agua Jetta A4 2.0,2,2,33,0,1J0 121 096 BK,Manguera Agua Jetta A4 2.0 Marca Bruck,55,16,0,0,#aa0009,1,18,7,6,0.1,0
3019,7102,Reten Transmision Jetta A4 Kit Aleman,2,2,43,0,020 498 085 G,Reten Transmision Jetta A4 Kit Aleman,55,17,0,0,#aa0009,1,10,10,10,0.1,0
3020,12569,Perno Collarin Jetta A4,2,2,35.99,0,02A141777B,Perno Collarin Jetta A4 Marca Bruck,55,17,0,0,#aa0009,1,5,5,5,0.1,0
3021,2295,Carter Aceite Jetta A4 Turbo de Aluminio,2,2,668.56,0,038 103 601 MA,Carter Aceite Jetta A4 Turbo de Aluminio Marca Top Engine,55,17,0,0,#aa0009,1,49,28,14,2.45,27
3022,2296,Carter Aceite Jetta A4 Aluminio y Fierro,2,2,825,0,06A 103 601 AH,Carter Aceite Jetta A4 Aluminio y Fierro Marca Herta,55,17,0,0,#aa0009,1,45,28,14,2.45,24
3023,594,Carter Transmision Automatica Jetta A4,2,2,474.99,0,01M 321 359,Carter Transmision Automatica Jetta A4 Marca Brick,55,17,0,0,#aa0009,1,32,27,9,1.3,1
3024,6799,Rejilla Facia Jetta A4 Derecha,4,2,48.15,0,1J5 853 666B,Rejilla Facia Jetta A4 Derecha Original,55,17,0,0,#aa0009,1,24,10,5,0.2,0
3025,6800,Rejilla Facia Jetta A4 Izquierda,4,2,48.15,0,1J5 853 665B,Rejilla Facia Jetta A4 Izquierda Original,55,17,0,0,#aa0009,1,24,10,5,0.2,0
3026,5562,Manguera Tapa Punterias Jetta A3,2,2,39.99,0,1HM 103 493 A,Manguera Tapa Punterias Jetta A3,54,16,0,0,#aa0009,1,12,11,3,0.1,0
3027,3659,Guardapolvo Palanca Velocidades Jetta A3 Con Perilla,8,2,154.99,0,327-FP,Guardapolvo Palanca Velocidades Jetta A3 Con Perilla,54,16,0,0,#aa0009,1,26,20,6,0.15,0
3028,14015,Perilla Palanca Velocidades Jeta A3 Tapa Cromada,8,2,58,0,327-R,Perilla Palanca Velocidades Jeta A3 Tapa Cromada,54,16,0,0,#aa0009,1,10,5,5,0.1,0
3029,4366,Goma Amortiguador Jetta A3 Delantera,3,2,34.83,0,357 412 303,Goma Amortiguador Jetta A3 Delantera,54,16,0,0,#aa0009,1,9,6,6,0.15,0
3030,7102,Reten Transmision Jetta A3 Kit Akeman,2,2,43,0,020 498 085 G,Reten Transmision Jetta A3 Kit Akeman,54,16,0,0,#aa0009,1,10,10,5,0.1,0
3031,3130,Deposito Anticongelante Jetta A3 Esfera,2,2,130,0,1H0 121 407 A,Deposito Anticongelante Jetta A3 Esfera Marca Best Cooling,54,16,0,0,#aa0009,1,0,0,0,0,53
3032,3170,Deslizador Reversa Jetta A3 Automatico,2,2,37,0,401-C,Deslizador Reversa Jetta A3 Automatico,54,16,0,0,#aa0009,1,10,10,5,0.1,4
3033,2503,Radiador Aceite Jetta A3 2 Litros Con Aire,2,2,970,0,CRNV3130,Radiador Aceite Jetta A3 2 Litros Con Aire Marca IZAKA,54,16,0,0,#aa0009,1,79,43,10,3.3,0
3034,1335,Radiador Agua Jetta A3 2 Litros Estandar Sin Aire,2,2,744.99,0,CRNV0130,Radiador Agua Jetta A3 2 Litros Estandar Sin Aire Marca Izaka,54,16,0,0,#aa0009,1,32,65,10,2.5,0
3035,2290,Carter Aceite Jetta A3,2,2,249,0,051 103 601,Carter Aceite Jetta A3 Marca Herta,54,16,0,0,#aa0009,1,42,22,15,1.35,24
3036,4366,Goma Amortiguador Jetta A2 Delantera,3,2,34.83,0,357 412 303,Goma Amortiguador Jetta A2 Delantera Marca Bruck,53,15,0,0,#aa0009,1,9,6,6,0.15,0
3037,110,Ajuste Faro Jetta A2 Corto Generico,4,2,53.99,0,165 941 141,Ajuste Faro Jetta A2 Corto Generico,53,15,0,0,#aa0009,1,5,5,5,0.1,4
3038,111,Ajuste Faro Jetta A2 Largo Generico,4,2,56,0,165 941 141 A,Ajuste Faro Jetta A2 Largo Generico,53,15,0,0,#aa0009,1,10,5,10,0.1,4
3039,7102,Reten Transmision Jetta A2 Kit Aleman,2,2,43,0,020 498 085 G,Reten Transmision Jetta A2 Kit Aleman,53,15,0,0,#aa0009,1,10,5,5,0.1,0
3040,3130,Deposito Anticongelante Jetta A2 Esfera,2,2,130,0,1H0 121 407 A,Deposito Anticongelante Jetta A2 Esfera Marca Best Cooling,53,15,0,0,#aa0009,1,0,0,0,0,53
3041,2345,Cerradura Cajuela Jetta A2,4,2,29,0,321 827 511 A RE,Cerradura Cajuela Jetta A2,53,15,0,0,#aa0009,1,15,10,5,0.1,4
3042,3171,Deslizante Reversa Jetta A2 Estandar,2,2,11.99,0,225,Deslizante Reversa Jetta A2 Estandar,53,15,0,0,#aa0009,1,10,10,5,0.1,4
3043,6671,Radiadopr Agua Jetta A2,2,2,687.99,0,321 121 253 AL,Radiadopr Agua Jetta A2Marca Herta,53,15,0,0,#aa0009,1,67,37,10,2.5,0
3044,2290,Carter Aceite Golf A2,2,2,249,0,051 103 601,Carter Aceite Golf A2 Marca Herta,53,15,0,0,#aa0009,1,42,22,15,1.35,24
3045,3564,Deposito Anticongelante I10 11-13,2,6,397.99,0,954310X-1,Deposito Anticongelante I10 11-13 Marca Quezada,71,86,0,0,#aa0009,1,0,0,0,0,15
3046,6147,Palanca Clutch Golf A4,2,2,117.61,0,1J0 711 761A,Palanca Clutch Golf A4 Marca Bruck,69,66,0,0,#aa0009,1,10,5,5,0.1,0
3047,3170,Deslizador Reversa Golf A3 Automatico,2,2,37,0,401-C,Deslizador Reversa Golf A3 Automatico,68,65,0,0,#aa0009,1,12,12,5,0.1,4
3048,12569,Perno Collarin Golf A4,2,2,35.99,0,02A141777B,Perno Collarin Golf A4 Marca Bruck,69,66,0,0,#aa0009,1,5,2,3,0.1,0
3049,2503,Radiador Agua Golf A3 2 Litros Con Aire,2,2,970,0,CRNV3130,Radiador Agua Golf A3 2 Litros Con Aire Marca Izaka,52,57,0,0,#aa0009,1,79,49,10,3.3,0
