_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso,id_proveedor
6000,3814,Faro auxiliar izquierdo Atos 05-10,4,6,145,0,92201-05500L   O,Faro auxiliar izquierdo Atos 05-10 marca GEPU,70,37,0,0,#aa0009,1,15,16,13,0.3,37
6001,3095,Maza delantera Atos 02-10,3,6,180.15,0,51750-25000,Maza delantera Atos 02-10 marca BERG,70,36,0,0,#aa0009,1,10,14,14,1.6,0
6002,3095,Maza delantera Atos 02-10,3,6,180.15,0,51750-25000,Maza delantera Atos 02-10 marca BERG,70,37,0,0,#aa0009,1,10,14,14,1.6,0
6003,5607,Manija puerta delantera exterior izquierda Atos,8,6,54.99,0,050-713-77AA,Manija puerta delantera exterior izquierda Atos,70,37,0,0,#aa0009,1,18,10,5,0.15,0
6004,5607,Manija Puerta Atos Delantera Exterior Izquierda,8,6,54.99,0,82650-02000,Manija Puerta Atos Delantera Exterior Izquierda,70,37,0,0,#aa0009,0,0,0,0,0,0
6005,5606,Manija Puerta Atos Delantera Exterior Derecha,8,6,54.99,0,050-713-79AA,Manija Puerta Atos Delantera Exterior Derecha,70,37,0,0,#aa0009,1,0,0,0,0,0
6006,13596,Tubo agua de 2 salidas Aveo 06-10,2,3,148.41,0,96180035,Tubo agua de 2 salidas Aveo 06-10 marca SMIDTD,15,38,0,0,#aa0009,1,18,10,35,0.4,0
6007,13391,Junta puntería Beetle 1.8 Turbo,2,2,115,0,PUNTERIA-VW-3100,Junta puntería Beetle 1.8 Turbo marca Top Engine,45,39,0,0,#aa0009,1,27,44,2,0.15,0
6008,4727,Hueso velocidades corto Caribe,2,2,29,0,171 711 574 A,Hueso velocidades corto Caribe Marca Herta,47,22,0,0,#aa0009,1,15,2,2,0.1,0
6009,6997,Resorte suspension delantero Caribe,3,2,217.25,0,171 411 105G,Resorte suspension delantero Caribe,47,22,0,0,#aa0009,1,18,18,41,2.1,0
6010,12471,Junta motor Chevy 1.6,2,3,535,0,JC-1215,Junta motor Chevy 1.6 marca TF Victor,5,6,0,0,#aa0009,1,46,30,3,0.75,0
6011,14962,Bomba agua chevy,2,3,339.46,0,P-2364,Bomba agua chevy marca Federal Mogul,5,6,0,0,#aa0009,1,12,13,13,0.9,59
6012,14966,Elevador delantero izquierdo Chevy 94-12   4 puertas,8,3,670.35,0,90388861,Elevador delantero izquierdo Chevy 94-12   4 puertas marca TYC,5,6,0,0,#aa0009,1,58,25,10,1.4,67
6013,14965,Elevador delantero derecho Chevy 94-12   4 puertas,8,3,670.35,0,90388862,Elevador delantero derecho Chevy 94-12   4 puertas marca TYC,5,6,0,0,#aa0009,1,58,25,10,1.4,67
6014,10303,Sensor flujo de aire Chevy 94-08,5,3,145.31,0,MAP-18000,Sensor flujo de aire Chevy 94-08 Voltmax,5,6,0,0,#aa0009,1,8,5,5,0.1,0
6015,12111,Válcvula calefacción Chevy,2,3,115,0,90566947,Válcvula calefacción Chevy marca Best Cooling,5,6,0,0,#aa0009,1,10,10,9,0.15,0
6016,12600,Tolva banda dentada (Kit 3 piezas) Chevy,2,3,313,0,93441534KIT,Tolva banda dentada (Kit 3 piezas) Chevy marca Top Engine,5,6,0,0,#aa0009,1,45,25,7,0.35,0
6017,89,Sensor oxígeno (4 Cables) Chevy,5,3,574.43,0,1258176,Sensor oxígeno (4 Cables) Chevy marca AcDelco,5,6,0,0,#aa0009,1,5,3,13,0.1,0
6018,6820,Relay bomba gasolina (30 Amperes) Chevy,5,3,33.06,0,90464759B,Relay bomba gasolina (30 Amperes) Chevy marca Voltmax,5,6,0,0,#aa0009,1,4,4,8,0.1,0
6019,12446,Sensor oxígeno (1 cable) Chevy,5,3,526.29,0,19265503,Sensor oxígeno (1 cable) Chevy marca AcDelco,5,6,0,0,#aa0009,1,5,3,13,0.1,0
6020,14990,Faro izquierdo fondo cromado Chevy C3,4,3,1140,0,20-B674-05-6B,Faro izquierdo fondo cromado Chevy C3 marca TYC,5,6,0,0,#aa0009,1,22,30,47,2.55,67
6021,2186,Cremallera Hidráulica Chevy C2 C3 04-12,3,3,4291,0,DMNC0110,Cremallera Hidráulica Chevy C2 C3 04-12 marca Yokomitsu,5,6,0,0,#aa0009,1,23,14,110,6.5,0
6022,2003,Calavera derecha (burbuja) Chevy Monza 01-03,4,3,245,0,FCNC0113,Calavera derecha (burbuja) Chevy Monza 01-03 Marca Diforza,5,6,0,0,#aa0009,1,,,,,18
6023,2004,Calavera izquierda (burbuja) Chevy Monza 01-03,4,3,245,0,FCNC0114,Calavera izquierda (burbuja) Chevy Monza 01-03 Marca DIforza,5,6,0,0,#aa0009,1,,,,,18
6024,8278,Tolva salpicadera derecha Chevy C1 C2 94-08,4,3,198,0,CTNC0121,Tolva salpicadera derecha Chevy C1 C2 94-08,5,6,0,0,#aa0009,1,130,33,30,0.5,0
6025,8279,Tolva salpicadera izquierda Chevy C1 C2 94-08,4,3,198,0,CTNC0122,Tolva salpicadera izquierda Chevy C1 C2 94-08,5,6,0,0,#aa0009,1,130,33,30,0.5,0
6026,534,Balancin admisión Chevy 1.4 y 1.6,2,3,42,0,90409194,Balancin admisión Chevy 1.4 y 1.6 Marca Top Engine,5,6,0,0,#aa0009,1,6,2,2,0.1,27
6027,1628,Buje horquilla Chevy,3,3,34.99,0,92099364SFT,Buje horquilla Chevy marca Safety,5,6,0,0,#aa0009,1,5,5,5,0.1,2
6028,3897,Junta cabeza Chevy 1.6,2,3,49.99,0,HG-GM-02G,Junta cabeza Chevy 1.6 Top Engine,5,6,0,0,#aa0009,1,15,40,1,0.15,0
6029,15000,Soporte transmisión trasero derecho / izquierdo Corsa,2,3,409.97,0,2780049,Soporte transmisión trasero derecho / izquierdo Corsa marca Grob,16,71,0,0,#aa0009,1,13,14,19,1.45,0
6030,14989,Faro izquierdo fondo cromado corsa 03-08,4,3,933.99,0,20-A940-05-6B,Faro izquierdo fondo cromado corsa 03-08 marca TYC,16,71,0,0,#aa0009,1,22,26,46,2,67
6031,14988,Faro derecho fondo cromado corsa 03-08,4,3,933.99,0,20-A939-05-6B,Faro derecho fondo cromado corsa 03-08 marca TYC,16,71,0,0,#aa0009,1,22,26,46,2,0
6032,14844,Amortiguador delantero Combi 79-01,3,2,348,0,G2057,Amortiguador delantero Combi 79-01 marca Grob (4 años de garantía),48,53,0,0,#aa0009,1,6,7,37,1.6,3
6033,10808,Faro derecho Corsa 07-08,4,3,914.99,0,FFNC0221,Faro derecho Corsa 07-08 marca Diforza,16,71,0,0,#aa0009,1,24,30,45,2.3,0
6034,10809,Faro izquierdo Corsa 07-08,4,3,914.99,0,FFNC0222,Faro izquierdo Corsa 07-08 marca Diforza,16,71,0,0,#aa0009,1,24,30,45,2.3,18
6035,8990,Tapa punterías Corsa,2,3,410,0,MDNC0100,Tapa punterías Corsa marca Diforza,16,70,0,0,#aa0009,1,14,10,40,0.55,0
6036,8990,Tapa punterías Corsa,2,3,410,0,MDNC0100,Tapa punterías Corsa marca Diforza,16,71,0,0,#aa0009,1,14,10,40,0.55,0
6037,14141,Buje horquilla inferior grande Corsa,3,3,169.99,0,1403008SFT,Buje horquilla inferior grande Corsa Marca Safety,16,71,0,0,#aa0009,1,7,8,12,0.75,2
6038,15014,Banda tiempo Corsa,2,3,210.4,0,19349818,Banda tiempo Corsa Original (AcDelco),16,70,0,0,#aa0009,1,16,26,3,0.15,28
6039,15014,Banda tiempo Corsa,2,3,210.4,0,19349818,Banda tiempo Corsa Original (AcDelco),16,71,0,0,#aa0009,1,16,23,3,0.15,47
6040,13073,Tolva salpicadera derecha Corsa 03-11,4,3,211.8,0,CTNC0201,Tolva salpicadera derecha Corsa 03-11,16,71,0,0,#aa0009,1,70,30,30,0.5,0
6041,13074,Tolva salpicadera izquierda Corsa 03-11,4,3,217.99,0,CTNC0202,Tolva salpicadera izquierda Corsa 03-11,16,71,0,0,#aa0009,1,70,30,30,0.5,0
6042,14961,Bomba agua D22 2.4L 95-07,2,1,338.16,0,P-2347,Bomba agua D22 2.4L 15-07 marca Federal Mogul,31,93,0,0,#aa0009,1,12,13,13,1,59
6043,7807,Tambor trasero D21,7,1,479.99,0,43206-F4000,Tambor trasero D21,30,40,0,0,#aa0009,1,34,31,8,6.95,0
6044,2759,Cofre D21 93-07,4,1,1898,0,CCJN0200,Cofre D21 93-07 Marca Simyi,30,40,0,0,#aa0009,1,145,100,20,18,70
6045,4855,Junta Cabeza D21 2.4L,2,1,77.99,0,JCRN0200,Junta Cabeza D21 2.4L marca SP,30,40,0,0,#aa0009,1,50,19,2,0.1,0
6046,6075,Sellos de motor D21,2,1,196.39,0,JL-082,Sellos de motor D21 marca Lodi,30,40,0,0,#aa0009,1,29,14,1,0.15,0
6047,4055,Buzo motor D21 2.4L,2,1,82,0,H-400,Buzo motor D21 2.4L marca Moresa,30,40,0,0,#aa0009,1,,,,,5
6048,2954,Cuarto derecho (Gris) D21,4,1,77,0,26170-59G00RH,Cuarto derecho (Gris) D21 Marca Techno Lamp,30,40,0,0,#aa0009,1,,,,,121
6049,2955,Cuarto izquierdo (Gris) D21,4,1,77,0,26195-59G00LH,Cuarto izquierdo (Gris) D21 Marca Techno Lamp,30,40,0,0,#aa0009,1,,,,,121
