_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso
990,5671,Balero Generador Vohco,2,2,32,0,6202,Balero Generador Vohco,64,68,0,0,#aa0009,1,0,0,0,0
991,12815,Balero Vohco Delantero Interior,3,2,90,0,AENC9914,Balero Vohco Delantero Interior Marca Grob,64,68,0,0,#aa0009,0,0,0,0,0
992,12816,Balero Vohco Delantero Exterior,3,2,54.74,0,11747-10 GOV,Balero Vohco Delantero Exterior Marca Grob,64,68,0,0,#aa0009,1,0,0,0,0
993,11264,Balero Rueda Atos Delantero Conico,3,6,72,0,51720-22000NSB,Balero Rueda Atos Delantero Conico Marca NSB,70,36,0,0,#aa0009,1,0,0,0,0
994,1828,"Buzo Motor Chevy 1.4, 1.6",2,3,67.99,0,5233315,"Buzo Motor Chevy 1.4, 1.6 Top Engine",5,6,0,0,#aa0009,1,3,3,7,0.2
995,11960,Base Amortiguador Chevy Delantero Superior,3,3,89.79,0,6760-KIT,Base Amortiguador Chevy Delantero Superior  Marca Safety,5,6,0,0,#aa0009,1,12,14,4,0.3
996,12914,Base Amortiguador Chevy Delantero Inferior,3,3,95,0,90170695,Base Amortiguador Chevy Delantero Inferior Con Balero Marca Safety,5,6,0,0,#aa0009,1,0,0,0,0
997,815,Balero Rueda Trasero Combi Interior,3,2,52.74,0,6207 zz NSB,Balero Rueda Trasero Combi Interior Marca NSB,48,53,0,0,#aa0009,0,7.5,7.5,2,0.3
998,12386,Polea Tensora Distribucion Corsa,2,3,285,0,PT-CORSA C/R,Polea Tensora Distribucion Corsa,16,70,0,0,#aa0009,1,0,0,0,0
999,4701,Horquilla Suspencion Corsa Derecha,3,3,349.99,0,282 001 ARE NIK,Horquilla Suspencion Corsa Derecha Con Bujes y Rotula,16,70,0,0,#aa0009,1,10,32,51,3.5
1000,6623,Bomba Gasolina Golf A4,5,2,922,0,KS-27M,Bomba Gasolina Golf A4 Marca Tetzun,69,66,0,0,#aa0009,1,0,0,0,0
