_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso,id_proveedor
5000,1317,Balero Doble Spark Trasero,3,3,125,0,43210-00QAA,Balero Doble Spark Trasero Marca 77,20,75,0,0,#aa0009,1,5,6,6,0.3,40
5001,3133,Deposito Anticongelante Tiida,2,1,134.01,0,2171000QAA,Deposito Anticongelante Tiida Marca Herta,35,49,0,0,#aa0009,1,,,,,24
5002,1317,Balero Doble Tiida Tasero,3,1,125,0,43210-00QAA,Balero Doble Tiida Tasero Marca 77,35,49,0,0,#aa0009,1,5,6,6,0.3,40
5003,848,Buje Puente Tiida,3,1,67.84,0,54400-EL000RSFT,Buje Puente Tiida Marca Safety,35,49,0,0,#aa0009,1,8,6,6,0.3,2
5004,12942,Resorte Suspencion Tiida Trasero 09-15,3,1,154.99,0,55020-EM00ASFT,Resorte Suspencion Tiida Trasero 09-15 Marca Safety,35,49,0,0,#aa0009,1,15,15,27,1.8,0
5005,13258,Resorte Suspencion Tiida Delanter 07-19,3,1,203.03,0,54010-EM0AESFT,Resorte Suspencion Tiida Delanter 07-19 Marca Safety,35,49,0,0,#aa0009,1,15,15,35,1.9,0
5006,4322,Radiador Agua Tiida Estandar,2,1,1121.24,0,25411-ED03A,Radiador Agua Tiida Estandar Marca Herta,35,49,0,0,#aa0009,1,6,8,5,0.1,0
5007,576,Conector Multiple Admision Tornado,2,3,48.99,0,93383625,Conector Multiple Admision Tornado Marca Bruck,21,76,0,0,#aa0009,1,10,5,4,0.1,1
5008,13676,Cilindro Rueda B11 Trasero,7,1,85,0,44100-01A00VP,Cilindro Rueda B11 Trasero Marca VP,83,102,0,0,#aa0009,1,5,6,10,0.2,25
5009,14649,Bomba Agua Tsuru II,2,1,234.33,0,MANN0500,Bomba Agua Tsuru II Marca Diforza,83,103,0,0,#aa0009,1,12,15,12,0.65,18
5010,1819,Bulbo Stop Tsuru II,5,1,29,0,21010-86G00,Bulbo Stop Tsuru II Marca Herta,83,103,0,0,#aa0009,1,8,2,2,0.1,24
5011,7873,Tapa Distribuidor B12 3 Tornillos,5,1,48.99,0,22162 94M01,Tapa Distribuidor B12 3 Tornillos Herta,83,103,0,0,#aa0009,1,8,9,10,0.1,0
5012,14671,Balero Doble Tsuru II Trasero,3,1,138,0,43210-50A00,Balero Doble Tsuru II Trasero Marca 77,83,103,0,0,#aa0009,1,13,9,5,0.35,40
5013,9517,Balero Doble Tsuru II Delantero,3,1,196.48,0,40210-50A05,Balero Doble Tsuru II Delantero marca 77,83,103,0,0,#aa0009,1,6,8,8,0.8,40
5014,11781,Tapon Radiador Tsuru II,2,1,27,0,NS1B3-TR800,Tapon Radiador Tsuru II Marca Herta,83,103,0,0,#aa0009,1,7,5,3,0.1,0
5015,13676,Cilindro Rueda Tsuru II Trasero,7,1,85,0,44100-01A00VP,Cilindro Rueda Tsuru II Trasero Marca VP,83,103,0,0,#aa0009,1,5,6,10,0.2,25
5016,14668,Bulbo Aceite Tsuru II,2,1,24.99,0,25240-89920,Bulbo Aceite Tsuru II  Marca Herta,83,103,0,0,#aa0009,1,6,5,5,0.1,24
5017,13106,Repuesto Carburador Tsuru II Tipo Nikki,2,1,149,0,K114757N,Repuesto Carburador Tsuru II Tipo Nikki Todos,83,103,0,0,#aa0009,1,0,0,0,0,0
5018,546,Balatas Tsuru III Delanteras Semi Metalica,7,1,64.99,0,41060-50Y93-SM,Balatas Tsuru III Delanteras Semi Metalica Marca FP,83,105,0,0,#aa0009,1,6,8,13,0.95,38
5019,6151,Palanca Direccional Tsuru III,5,1,188,0,25540-65Y00,Palanca Direccionales Tsuru III Sola,83,105,0,0,#aa0009,0,0,0,0,0,0
5020,14619,Bomba Agua Tsuru III 8 Valvulas,2,1,309.99,0,MANN0500,Bomba Agua Tsuru III 8 Valvulas Marca Diforza,83,104,0,0,#aa0009,1,13,15,12,0.65,18
5021,9513,Soporte Motor Tsuru III Trasero,2,1,134,0,11320-0M002,Soporte Motor Tsuru III Trasero Marca Herta,83,105,0,0,#aa0009,1,16,7,9,0.65,0
5022,11038,Bomba Aceite  Tsuru III,2,1,900.05,0,MBNN0100,Bomba Aceite  Tsuru III Marca Diforza,83,105,0,0,#aa0009,1,31,21,9,1.7,18
5023,1819,Bulbo Stop Tsuru III,5,1,29,0,25320-75A00,Bulbo Stop Tsuru III Marca Herta,83,105,0,0,#aa0009,1,5,5,7,0.1,24
5024,2667,Cilindro Rueda Tsuru III Trasero,7,1,68.9,0,44100-50C10,Cilindro Rueda Tsuru III Trasero Marca VP,83,105,0,0,#aa0009,1,,,,,25
5025,14670,Manija Elevador Tsuru III Gris,8,1,17,0,80760-50A01,Manija Elevador Tsuru III Gris Marca M_Series,83,105,0,0,#aa0009,1,12,4,4,0.1,0
5026,11781,Tapon Radiador Tsuru III,2,1,27,0,NS1B3-TR800,Tapon Radiador Tsuru III Marca Herta,83,105,0,0,#aa0009,1,7,5,3,0.1,0
5027,14221,Tapon Gasolina Tsuru III sin Llave,2,1,24.74,0,1751-79915,Tapon Gasolina Tsuru III sin Llave Marca M-Series,83,105,0,0,#aa0009,1,8,8,6,0.1,0
5028,358,Switch Intermitentes Tsuru III,5,1,100,0,25290-F4300,Switch Intermitentes Tsuru III  Marca Herta,83,105,0,0,#aa0009,1,9,9,5,0.1,0
5029,7470,Cacahuate Estabilizador Tsuru III Delantero Corto,3,1,59,0,54618-D5000,Cacahuate Estabilizador Tsuru III Delantero Corto Marca 77,83,105,0,0,#aa0009,1,11,8,4,0.2,40
5030,14668,Bulbo Aceite Tsuru III,2,1,24.99,0,25240-89920,Bulbo Aceite Tsuru IIIMarca Herta,83,105,0,0,#aa0009,1,6,5,5,0.1,24
5031,5204,Liga Bomna Gasolina Tsuru III,2,1,19,0,17342-01A00,Liga Bomna Gasolina Tsuru III,83,105,0,0,#aa0009,1,12,12,1,0.1,0
5032,10056,Bulbo Aceite Tsuru III,2,1,27,0,25240-89920,Bulbo Aceite Tsuru III  Marca Nikko,83,105,0,0,#aa0009,1,4,4,8,0.05,32
5033,11224,Valvula Relenty Tsuru III,5,1,576.36,0,237821N600,Valvula Relenty Tsuru III Euro España,83,105,0,0,#aa0009,1,7,15,9,0.3,0
5034,1035,Base Amortiguador Tsuru III Trasera,3,1,115,0,55320-50YNK,Base Amortiguador Tsuru III Trasera Marca Nikko,83,105,0,0,#aa0009,1,13,12,5,0.45,32
5035,11370,Tambor trasero Tsuru III,7,1,299.99,0,BDNN0150,Tambor trasero Tsuru III,83,105,0,0,#aa0009,1,24,23,6,3.55,0
5036,8354,Manguera Calefaccion Tsuru III Superior,2,1,29.99,0,92410-F4202,Manguera Calefaccion Tsuru III Superior Marca Bruck,83,105,0,0,#aa0009,1,25,14,5,0.15,0
5037,8350,Manguera Calefaccion Tsuru III Inferior Izquierda,2,1,20.02,0,92400-F4203,Manguera Calefaccion Tsuru III Inferior Izquierda Marca Bruck,83,105,0,0,#aa0009,1,12,6,5,0.1,0
5038,12680,Manguera Gasolina Tsuru III (Conecta el Tanque y la Entrada de Gas),2,1,57,0,17228F4200,Manguera Gasolina Tsuru III (Conecta el Tanque y la Entrada de Gas) Marca Bruck,83,105,0,0,#aa0009,1,26,7,5,0.2,0
